"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1375,"Men|Christ|Resurrection","40.6 x 26",FALSE,1055.6
"False",1485,"Knights|Horses","5.2 x 4.6",FALSE,23.92
"False",1325,"Knights|Men|Chess|Horses|Armor","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1401,"Men|Christ|Resurrection","53.9 x 26",FALSE,1401.4
"False",1572,"Men|Portraits|Armor|Coat of Arms","104.5 x 80",FALSE,8360
"False",1455,"Armor|Dragons|Saint Sebastian|Men|Saint George","74.3 x 34.3",FALSE,2548.49
"False",1525,"Portraits|Armor|Men","16.8 x 13.7",FALSE,230.16
"False",1550,"Portraits|Armor|Men","219.7 x 134.6",FALSE,29571.62
"False",1600,"Portraits|Armor|Men","205.7 x 109.2",FALSE,22462.44
"False",1250,"Men","187.3 x 62.5 x 12.7",TRUE,148669.375
"False",1305,"Dragons|Saint George","58.4 x 26 x 16.1",TRUE,24446.24
"False",1555,"Armor|Men|Portraits","14 x 10.2",FALSE,142.8
"False",1597,"Portraits|Helmets|Men","198.1 x 121.9",FALSE,24148.39
"False",1625,"Portraits|Horses|Armor|Men","204.4 x 121.9",FALSE,24916.36
"False",1800,"Maps|Houses|Cities|Boats|Ships","150.5 x 205.1",FALSE,30867.55
"False",1585,"Mountains|Trees|Boats","141.3 x 46",FALSE,6499.8
"False",1700,"Mountains|Landscapes","36.8 x 28.3",FALSE,1041.44
"False",1700,"Boats|Houses|Landscapes","17.1 x 50.8",FALSE,868.68
"False",1700,"Landscapes","16.2 x 52.1",FALSE,844.02
"False",1700,"Mountains|Landscapes","16.5 x 52.1",FALSE,859.65
"False",1707,"Landscapes","16.5 x 48.9",FALSE,806.85
"False",1591,"Landscapes","16.5 x 50.8",FALSE,838.2
"False",1368,"Mountains|Landscapes","18.1 x 52.1",FALSE,943.01
"False",1630,"Landscapes","16.8 x 51.4",FALSE,863.52
"False",1600,"Landscapes|Trees","15.9 x 46.4",FALSE,737.76
"False",1368,"Roosters","16.5 x 51.8",FALSE,854.7
"False",1613,"Trees","18.4 x 55.6",FALSE,1023.04
"False",1635,"Pavilions|Landscapes|Trees","18.7 x 55.2",FALSE,1032.24
"False",1603,"Landscapes","16.2 x 47.6",FALSE,771.12
"False",1604,"Boats|Landscapes","15.9 x 48.3",FALSE,767.97
"False",1643,"Landscapes","16.5 x 49.5",FALSE,816.75
"False",1570,"Birds|Flowers","16.5 x 48.9",FALSE,806.85
"False",1640,"Landscapes","16.5 x 47.6",FALSE,785.4
"False",1644,"Rivers|Landscapes","16.2 x 50.2",FALSE,813.24
"False",1670,"Flowers","16.5 x 50.2",FALSE,828.3
"False",1667,"Landscapes|Mountains|Boats","15.9 x 47.3",FALSE,752.07
"False",1300,"Boys|Sheep","24.1 x 24.8",FALSE,597.68
"False",1200,"Landscapes|Mountains","24.8 x 21.3",FALSE,528.24
"False",1200,"Narcissus","23.8 x 24.4",FALSE,580.72
"False",1200,"Landscapes|Mountains|Snow","25.1 x 25.7",FALSE,645.07
"False",1500,"Bodhisattvas|Bridges|Men|Women|Buddhism","30.5 x 31.1 x 21.3",TRUE,20204.115
"False",1167,"Gibbons","24.4 x 23.8",FALSE,580.72
"False",1500,"Elephants|Men","121.3 x 52.7",FALSE,6392.51
"False",1467,"Mountains|Landscapes","59.4 x 521.7",FALSE,30988.98
"False",1467,"Landscapes","224.2 x 121.9",FALSE,27329.98
"False",1495,"Women|Bamboo","124.5 x 44.5",FALSE,5540.25
"False",1630,"Mountains|Landscapes","148 x 66.4",FALSE,9827.2
"False",1721,"Birds","94.1 x 43.7",FALSE,4112.17
"False",1644,"Landscapes","98.7 x 33.3",FALSE,3286.71
"False",1845,"Mountains|Landscapes","116.8 x 27.3",FALSE,3188.64
"False",1800,"Men|Buddhism","49.8 x 634.4",FALSE,31593.12
"False",1558,"Mountains|Landscapes","17.9 x 123.2",FALSE,2205.28
"False",1368,"Birds|Pomegranates","27.3 x 27.3",FALSE,745.29
"False",1400,"Men|Buddhism","117.8 x 47",FALSE,5536.6
"False",1368,"Mountains|Landscapes","154.9 x 46.4",FALSE,7187.36
"False",1500,"Men|Women|Fishing|Boats","110.2 x 81.0",FALSE,8926.2
"False",1559,"Waterfalls","110.5 x 24.8",FALSE,2740.4
"False",1703,"Landscapes|Hills","100.6 x 48.3",FALSE,4858.98
"False",1644,"Waterfalls|Landscapes|Streams","43.8 x 49.5",FALSE,2168.1
"False",1759,"Mountains|Landscapes","124.5 x 40.6",FALSE,5054.7
"True",1300,"Bodhisattvas|Buddhism|Avalokiteshvara","114.5 x 55.6",FALSE,6366.2
"False",1544,"Women|Bamboo","118.1 x 49.5",FALSE,5845.95
"False",1200,"Buffalos|Landscapes","31.8 x 221.8",FALSE,7053.24
"False",1500,"Landscapes|Mountains","55.9 x 256.5",FALSE,14338.35
"False",1724,"Birds|Flowers","113 x 60.3",FALSE,6813.9
"False",1200,"Landscapes|Trees","25.4 x 25.4",FALSE,645.16
"False",400,"Buddha","36.2 x 14 x 6.7",TRUE,3395.56
"False",1400,"Horses","25.7 x 22.9",FALSE,588.53
"False",1573,"Deities|Men|Horses","72.4 x 58.4",FALSE,4228.16
"False",1300,"Portraits|Women","78.7 x 38.1",FALSE,2998.47
"False",1300,"Dragons|Trees","44.8 x 190.8",FALSE,8547.84
"False",1700,"Birds","17.9 x 26",FALSE,465.4
"False",1100,"Bodhisattvas|Buddhism|Avalokiteshvara","52.7 x 16.5 x 16.5",TRUE,14347.575
"False",1741,"Landscapes","3.7 x 4.4",FALSE,16.28
"False",1700,"Landscapes|Rivers|Boats","29.8 x 1004.6",FALSE,29937.08
"False",1600,"Landscapes|Streams|Mountains","28.4 x 194",FALSE,5509.6
"False",1416,"Ducks","156.5 x 87.9",FALSE,13756.35
"False",1400,"Vegetables","110.2 x 46.7",FALSE,5146.34
"False",1200,"Men|Caves|Trees","24.8 x 25.2",FALSE,624.96
"False",1271,"Landscapes|Cranes","24.8 x 25.4",FALSE,629.92
"False",1500,"Landscapes|Birds","154.0 x 87.9",FALSE,13536.6
"False",1226,"Landscapes|Trees","25.2 x 26",FALSE,655.2
"False",1271,"Landscapes|Storms|Boats","24.4 x 26",FALSE,634.4
"False",1345,"Men|Tigers","128 x 62.2",FALSE,7961.6
"False",1532,"Trees","172.1 x 94.3",FALSE,16229.03
"False",1700,"Butterflies|Flowers","27.9 x 248.9",FALSE,6944.31
"False",1800,"Rivers|Landscapes|Boats","30.8 x 475.3",FALSE,14639.24
"False",1470,"Sleeping|Women","20.3 x 61.6",FALSE,1250.48
"False",1200,"Geese","31.4 x 28",FALSE,879.2
"False",1200,"Mountains|Landscapes","24.1 x 24.8",FALSE,597.68
"False",1900,"Emperors|Men|Portraits","28.3 x 22.2",FALSE,628.26
"False",1667,"Bodhisattvas|Lions|Buddhism","207.6 x 97.8",FALSE,20303.28
"False",1350,"Mountains|Landscapes","25.9 x 219.1",FALSE,5674.69
"False",1600,"Landscapes|Mountains","23.2 x 177.2",FALSE,4111.04
"False",1820,"Cats|Narcissus","93.7 x 36.8",FALSE,3448.16
"False",1947,"Flowers","113.7 x 66.0",FALSE,7504.2
"False",1518,"Peacocks|Flowers|Trees","89.5 x 193",FALSE,17273.5
"False",1561,"Men|Portraits","156.8 x 96.2",FALSE,15084.16
"False",1561,"Women|Portraits","156.8 x 96.2",FALSE,15084.16
"False",1634,"Men|Buddhism","25.7 x 30.2",FALSE,776.14
"False",1550,"Moon|Trees","152.4 x 89.7",FALSE,13670.28
"False",1000,"Bodhisattvas|Buddhism","139.1 x 54.6 x 54.6",TRUE,414679.356
"False",1654,"Rivers|Mountains|Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains|Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains|Landscapes","24.8 x 32.4",FALSE,803.52
"False",1470,"Landscapes|Trees|Boats","71.1 x 139.7",FALSE,9932.67
"False",1639,"Buffalos","27.3 x 441.3",FALSE,12047.49
"False",1635,"Mountains|Landscapes","32.1 x 1183.6",FALSE,37993.56
"False",1693,"Bamboo","170.5 x 45.6",FALSE,7774.8
"False",1912,"Women|Trees","214.3 x 78.1",FALSE,16736.83
"False",1350,"Flowers","162.2 x 60",FALSE,9732
"False",1657,"Landscapes|Mountains","115.9 x 56.2",FALSE,6513.58
"False",1726,"Animals|Mountains|Landscapes","119.4 x 54.6",FALSE,6519.24
"False",1692,"Mountains|Landscapes","68.3 x 46.4",FALSE,3169.12
"False",1470,"Poetry|Landscapes","21.0 x 19.7",FALSE,413.7
"False",1165,"Bodhisattvas|Buddhism|Buddha","25.6 x 746.3",FALSE,19105.28
"False",1700,"Roses|Cranes|Peaches|Trees","198.8 x 101",FALSE,20078.8
"False",1750,"Birds|Flowers","116.4 x 50",FALSE,5820
"False",1627,"Lions|Men","27.3 x 36.5",FALSE,996.45
"False",1631,"Lions|Trees","18.7 x 24.8",FALSE,463.76
