"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1375,"Men","40.6 x 26",FALSE,1055.6
"False",1375,"Christ","40.6 x 26",FALSE,1055.6
"False",1375,"Resurrection","40.6 x 26",FALSE,1055.6
"False",1485,"Knights","5.2 x 4.6",FALSE,23.92
"False",1485,"Horses","5.2 x 4.6",FALSE,23.92
"False",1325,"Knights","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1325,"Men","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1325,"Chess","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1325,"Horses","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1325,"Armor","6.1 x 6.4 x 1.6",TRUE,62.464
"False",1401,"Men","53.9 x 26",FALSE,1401.4
"False",1401,"Christ","53.9 x 26",FALSE,1401.4
"False",1401,"Resurrection","53.9 x 26",FALSE,1401.4
"False",1572,"Men","104.5 x 80",FALSE,8360
"False",1572,"Portraits","104.5 x 80",FALSE,8360
"False",1572,"Armor","104.5 x 80",FALSE,8360
"False",1572,"Coat of Arms","104.5 x 80",FALSE,8360
"False",1455,"Armor","74.3 x 34.3",FALSE,2548.49
"False",1455,"Dragons","74.3 x 34.3",FALSE,2548.49
"False",1455,"Saint Sebastian","74.3 x 34.3",FALSE,2548.49
"False",1455,"Men","74.3 x 34.3",FALSE,2548.49
"False",1455,"Saint George","74.3 x 34.3",FALSE,2548.49
"False",1525,"Portraits","16.8 x 13.7",FALSE,230.16
"False",1525,"Armor","16.8 x 13.7",FALSE,230.16
"False",1525,"Men","16.8 x 13.7",FALSE,230.16
"False",1550,"Portraits","219.7 x 134.6",FALSE,29571.62
"False",1550,"Armor","219.7 x 134.6",FALSE,29571.62
"False",1550,"Men","219.7 x 134.6",FALSE,29571.62
"False",1600,"Portraits","205.7 x 109.2",FALSE,22462.44
"False",1600,"Armor","205.7 x 109.2",FALSE,22462.44
"False",1600,"Men","205.7 x 109.2",FALSE,22462.44
"False",1250,"Men","187.3 x 62.5 x 12.7",TRUE,148669.375
"False",1305,"Dragons","58.4 x 26 x 16.1",TRUE,24446.24
"False",1305,"Saint George","58.4 x 26 x 16.1",TRUE,24446.24
"False",1555,"Armor","14 x 10.2",FALSE,142.8
"False",1555,"Men","14 x 10.2",FALSE,142.8
"False",1555,"Portraits","14 x 10.2",FALSE,142.8
"False",1597,"Portraits","198.1 x 121.9",FALSE,24148.39
"False",1597,"Helmets","198.1 x 121.9",FALSE,24148.39
"False",1597,"Men","198.1 x 121.9",FALSE,24148.39
"False",1625,"Portraits","204.4 x 121.9",FALSE,24916.36
"False",1625,"Horses","204.4 x 121.9",FALSE,24916.36
"False",1625,"Armor","204.4 x 121.9",FALSE,24916.36
"False",1625,"Men","204.4 x 121.9",FALSE,24916.36
"False",1800,"Maps","150.5 x 205.1",FALSE,30867.55
"False",1800,"Houses","150.5 x 205.1",FALSE,30867.55
"False",1800,"Cities","150.5 x 205.1",FALSE,30867.55
"False",1800,"Boats","150.5 x 205.1",FALSE,30867.55
"False",1800,"Ships","150.5 x 205.1",FALSE,30867.55
"False",1585,"Mountains","141.3 x 46",FALSE,6499.8
"False",1585,"Trees","141.3 x 46",FALSE,6499.8
"False",1585,"Boats","141.3 x 46",FALSE,6499.8
"False",1700,"Mountains","36.8 x 28.3",FALSE,1041.44
"False",1700,"Landscapes","36.8 x 28.3",FALSE,1041.44
"False",1700,"Boats","17.1 x 50.8",FALSE,868.68
"False",1700,"Houses","17.1 x 50.8",FALSE,868.68
"False",1700,"Landscapes","17.1 x 50.8",FALSE,868.68
"False",1700,"Landscapes","16.2 x 52.1",FALSE,844.02
