;Nome ;CEP;
1;PETRAMIX;03974-050;
2;GMAX Soluçoes em aço;71225-525;
3;Mafra Mix;88735-000;
4;M3 Concreto;66825-673;
5;Cotragon Concreto;83025-323;
6;Vale Concreto | Lajes e Concreto Usinado;06695-210;
7;taguamix concreto ;72276-010;
8;Concreteira Delta Mix;14175-360;
9;henrimix;07261-650;
10;12 Mix Concreto & Argamassa;;ENGEMIX CONCRETO - 74923210
11;Goolmix Concreto;43700-000;VM6 Empreendimentos - 36330-000
12;Dipamix Concreto;83707-740;Vences Mix - 7175331
13;Qualimix Concreto;12200-000;UON - Usina Ouro Negro - 67020590
14;Concrelider Concretos;;Marco Zero Construção - 37554-020
15;Bernamix Concreto;73700-000;Via Concreto Locaçoes - 43810000
16;Baruc Concreto;44057-350;Concreatus pré-moldados - 68.193-000
17;Azul Concretos;82130-570;Pav Tubo Indústria e Comércio - 79013545
18;Wm-concretousinado-sidro;79170-000;Benéfica Concreto - 35910000
19;JatoTech🇧🇷;;Hipermix Barueri SP - 06612-000
20;Concremais | Lajes & Concreto;88215-000;Tabal Mineração - 68647000
21;MIX CONCRETO Soluções em construções civil;;NACIONAL BOMBAS - 37130226
22;CARRAMIX CONCRETO & ARTEFATOS;85400-000;IMPREMIX PREMOLDADOS - 42710600
23;TRIO CONSULTORIA TÉCNICA;74913-130;Grupo AP2 - 61635020
24;MBMIX CONCRETO;47819-899;Norte Mix - 29930000
25;Concremais;95590-000;Concrete Já - 09015-510
26;Brascon Concreto;83.512-252;Back Engenharia - 25953008
27;Concresul Trindade; 75.384-627;KDM Pré-Moldados - 88906101
28;Concreroma Concreteira;86.181-570;Petromix - 25750226
29;CARRA Construtora;;Rodomix Concreto - 34800000
30;DF Bombas e Concreto;;Concrevale | Artefatos de cimento - 76874000
31;CONCREHAUS;88220-000;Locarmix Concreto Usinado - 78045280
32;Pontal Mix Concreto;75620-000;Concrecon Salvador-Ba - 41230-085
33;Ribeiro Concreto;17039-741;Welmix Concreto - 38407180
34;Pedreira Costa;94100-370;Metro Cubico Concreto - 66623590
35;Soluções Mix;;Visão Concreto - 85859712
36;União Bombas;;CONCREMAX CONCRETO DE OURINHOS - 19914005
37;GCMIX | CONCRETO USINADO;35501-194;Soluções em Concretos - 75250-000
38;empar parcerias;;ROMIX CONCRETO USINADO - 7221030
39;Master Concreto;14240-000;Nova Potência | Concreto Usinado Jandira - 06660-080
40;Ak Concretos;;BALSAMO CONSTRUÇÕES LTDA - 78080540
41;BSB mix ;73040-110;
42;Jmix concreto e servicos;48110-000;
